As_diam_km,As_dist_km,As_velocity_kmh,As_velocity_angle,As_dist_relative_flag,Coordinate_flag,Sc_diam_m,Sc_velocity_kmh,Relative_velocity,Estimated_time,New_theta,Final_Angle
271.357992,715208,72069.27097,-77,0,2,5,57720,101966.1623,7.014170034,0.021739074,-76.97826093
149.122308,690034,30694.75504,24,1,1,7,58904,87836.83565,7.855861324,0.012382699,23.9876173
124.034533,160475.25,28510.28656,24,1,1,7,61495,88305.15541,1.817280647,0.095083661,23.90491634
25.914487,382205.08,16759.72294,-81,1,2,7,62261,66961.12306,5.707865438,0.003885852,-80.99611415
326.2440625,632574.84,7791.742256,-8,0,2,3,59128,66852.70903,9.462217002,0.02955,-7.97045
196.5814875,72616.865,102308.2353,87,0,1,3,58590,120528.8,0.602485589,1.004462944,85.99553706
71.374424,29527.9675,37985.47118,73,1,1,6,60737,80504.37558,0.366787113,1.473331027,71.52666897
71.374424,649328,63233.66755,-86,0,2,3,55920,87286.10782,7.439076117,0.006298245,-85.99370176
236.3429305,152661.83,69203.39565,83,0,1,7,61465,97999.08078,1.557788387,0.222169986,82.77783001
17.208484,316544.42,25790.93301,78,0,1,6,63425,73267.33617,4.320403014,0.00311589,77.99688411
593.6666015,524706.92,48874.68952,-53,1,2,6,58842,96501.90263,5.437270206,0.064826564,-52.93517344
129.880101,77447.365,41293.07296,-64,0,2,7,58814,85401.81653,0.906858521,0.413417326,-63.58658267
74.738197,145923.93,42950.31311,-53,1,2,5,56936,89609.2479,1.628447213,0.070313757,-52.92968624
8.1948805,219460.04,35546.91538,68,0,1,5,57376,77997.68391,2.813673804,0.002968569,67.99703143
247.48143,258659.06,57379.34578,21,0,1,6,63264,118628.0091,2.180421487,0.098096572,20.90190343
118.45206,498435.12,42265.48854,-71,1,2,4,61141,84895.40655,5.871167125,0.013616686,-70.98638331
74.738197,145923.38,42950.20292,77,1,1,3,57878,79454.2749,1.836570533,0.062344248,76.93765575
81.9488035,129379.27,13816.86035,80,0,1,6,61474,65306.53931,1.981107426,0.071477693,79.92852231
471.5661435,738191.12,52742.18585,28,1,1,4,60270,109670.3626,6.730999174,0.036601617,27.96339838
196.5814875,746763.2,27053.55128,6,0,1,7,62659,89608.98089,8.333575414,0.015083355,5.984916645
410.716941,629756.44,51778.15627,50,0,1,4,63947,105008.6191,5.997188093,0.037367756,49.96263224
450.3421705,557195.72,59537.69736,-50,0,2,5,59615,107989.0224,5.159744089,0.046308686,-49.95369131
14.24107,106311.56,26420.907,-49,1,2,3,62255,82048.55377,1.295715221,0.02311601,-48.97688399
71.374424,588690.08,38158.53734,9,1,1,6,59173,97045.50382,6.066124208,0.006947286,8.993052714
17.9284445,707544.48,82168.66311,2,1,1,4,64324,146470.6827,4.83062185,0.00145214,1.99854786
223.2248895,335669.16,73347.20038,44,0,1,4,59383,123176.4263,2.725108775,0.054553667,43.94544633
1491.223081,129750.59,82657.25977,86,0,1,5,57308,103813.7344,1.249840311,2.055649363,83.94435064
21.5547315,353127.4,27059.26388,-45,0,2,4,55037,76599.00665,4.610078061,0.003497958,-44.99650204
747.3819705,699333.92,77525.04416,-25,0,2,7,64580,138764.8761,5.039704138,0.061232907,-24.93876709
10.0819055,482989.24,48932.03858,49,0,1,7,61109,100260.3305,4.817351363,0.001196822,48.99880318
297.5381215,572386.48,29476.38943,-48,1,2,3,56077,78902.23682,7.254375833,0.029783821,-47.97021618
32.6244065,402373.8,50728.33138,-89,1,2,7,64507,82757.0952,4.862106373,0.004646532,-88.99535347
35.77195,348367.28,40318.2038,30,0,1,5,60770,97787.07814,3.562508325,0.006444347,29.99355565
566.9472025,54216.885,33497.51588,-13,1,2,4,60261,93205.07735,0.581694544,4.01869422,-8.98130578
271.357992,599353.36,93793.96984,7,0,1,6,59739,153260.7016,3.910678692,0.02594132,6.97405868
284.1467005,657089.16,69367.00524,-84,1,2,7,57848,94852.85519,6.927457889,0.024777176,-83.97522282
566.9472025,54216.885,33497.51589,16,0,1,3,60674,93331.71356,0.580905278,4.024147256,11.97585274
713.7442405,339472.6,51633.11046,62,0,1,4,61814,97384.42208,3.485902496,0.134832294,61.86516771
68.162046,460634.36,39036.72631,4,1,1,5,63609,102586.7817,4.490192132,0.008478928,3.991521072
216.1437175,291378.66,56443.30934,56,1,1,7,58236,101259.3177,2.877549113,0.057629524,55.94237048
1424.106986,462381.12,132850.034,-3,1,2,5,56117,188912.9585,2.447588157,0.281303114,-2.718696886
163.5093595,274452.94,56869.50626,32,0,1,4,56133,108625.1705,2.526605378,0.052712883,31.94728712
205.846088,304409.84,73042.03216,-11,1,2,6,57816,130263.7626,2.336872772,0.064688988,-10.93531101
341.619472,223930.42,71477.46223,19,1,1,6,62738,132382.6364,1.691539209,0.201615499,18.7983845
271.357992,512485.96,88985.71876,26,1,1,3,62497,147720.4541,3.469295862,0.034118737,25.96588126
156.150226,349817.84,41027.76819,-55,0,2,3,58599,88741.7019,3.941978039,0.025575951,-54.97442405
326.2440625,164069.84,55639.51161,64,0,1,3,60349,98395.49066,1.667452836,0.266583417,63.73341658
56.69472,579028.24,52866.63512,-9,0,2,5,56295,108825.4587,5.320705717,0.005610531,-8.994389469
747.3819705,518984.64,70330.21491,46,1,1,3,63670,123375.2969,4.206552307,0.082511151,45.91748885
29.753812,601064.16,17366.03508,-73,1,2,6,58438,65650.57418,9.155504997,0.002836822,-72.99716318
59.3666605,38687.305,41429.69471,53,0,1,3,57513,88837.54549,0.435483722,0.787758314,52.21224169
517.0619945,531242.12,65997.84232,38,0,1,3,63628,122566.0702,4.33433265,0.055766761,37.94423324
24.7481435,243545.82,28534.90165,2,1,1,5,56507,85030.35075,2.86422222,0.007932531,1.992067469
297.5381215,548314.32,70802.20429,8,0,1,5,59053,129541.4762,4.232731755,0.031091603,7.968908397
517.0619945,531240.64,65997.74724,43,0,1,6,61236,118393.3769,4.48708073,0.05576724,42.94423276
323.849042,484231.44,62932.88134,87,1,1,3,63870,91981.82226,5.264425384,0.038319201,86.9616808
1360.011613,450240.36,58051.77385,87,0,1,3,62418,87437.3564,5.14929063,0.173070058,86.82692994
171.215318,98165.99,48510.84603,-33,1,2,4,56077,100303.9124,0.978685553,0.398398201,-32.6016018
108.029562,141033.25,15594.18897,22,0,1,3,58360,73052.62136,1.930570695,0.088698502,21.9113015
215.547315,461377.8,60977.87629,-13,0,2,5,62652,122835.3118,3.756068131,0.027805542,-12.97219446
2155.473148,68959.54,47212.35124,30,1,1,4,63483,107006.3941,0.644443172,10.84259596,19.15740404
392.2316335,731819.36,39836.08405,-82,1,2,3,60888,77261.9042,9.471930153,0.03070894,-81.96929106
16.350936,182195.3,45187.83424,-56,1,2,6,62204,95157.28258,1.914675315,0.010481863,-55.98951814
15.615023,558707,45095.52508,-34,1,2,3,61534,102083.5226,5.473038015,0.001601639,-33.99839836
208.6135995,474103.76,46207.17944,-24,0,2,5,62234,106123.8054,4.467459098,0.025211716,-23.97478828
782.6049975,678848.88,87708.44023,-86,1,2,6,56174,107404.1891,6.320506543,0.066053469,-85.93394653
326.2440625,206901.56,32231.40861,30,0,1,5,57343,86765.99994,2.384592584,0.147822367,29.85217763
1031.674312,579201.68,56140.69577,85,0,1,3,55975,82660.43739,7.006999942,0.102055603,84.8979444
541.4303755,617713.96,113787.8472,-33,0,2,5,64886,171878.0859,3.593907605,0.054520664,-32.94547934
782.6049975,356218.44,115853.0607,63,1,1,7,56387,150109.6534,2.373054843,0.206962262,62.79303774
782.6049975,356218.4,115853.0612,62,0,1,6,63145,155814.3134,2.28617251,0.214827282,61.78517272
410.716941,480374.04,66663.09174,45,1,1,7,56739,114071.904,4.211151239,0.048988402,44.9510116
410.716941,717723.36,112062.8028,-1,1,2,5,57111,169168.0409,4.242665201,0.032787901,-0.967212099
392.2316335,480376.48,66663.07001,-61,1,2,6,62449,111267.2826,4.317320138,0.046783242,-60.95321676
493.790371,556370,94852.32165,-37,1,2,3,60633,147849.6468,3.763079669,0.052723833,-36.94727617
1965.814875,608711.24,73050.47728,-89,1,2,3,55273,92371.05925,6.589847999,0.185035367,-88.81496463
1131.208388,663165.88,55231.99079,88,0,1,6,63477,85583.96398,7.748716572,0.097733969,87.90226603
78.2605,488736.16,35390.69803,53,1,1,3,59879,85957.43321,5.68579286,0.009175032,52.99082497
374.578302,720394.88,55490.65998,-45,0,2,4,64653,111053.6337,6.486909576,0.029791984,-44.97020802
311.560661,445742.08,52917.50892,-84,0,2,6,60048,84085.20901,5.301075959,0.040048858,-83.95995114
1360.011613,456639.68,76521.0624,-22,1,2,6,63223,137200.0357,3.328276684,0.20004159,-21.79995841
374.578302,723425.76,71455.08456,77,1,1,5,57794,101508.2514,7.12676802,0.029667246,76.97033275
65.0942485,58498.015,34235.56698,-15,0,2,7,61902,95383.48072,0.613292937,0.405647738,-14.59435226
171.215318,733136.32,57819.83861,63,1,1,3,59493,100029.4583,7.329204142,0.013380991,62.98661901
11.845206,668524.56,73744.03532,75,1,1,4,64056,109483.0842,6.106190418,0.001015534,74.99898447
29.753812,547201.4,70325.74167,90,1,1,6,63197,94549.30328,5.78747152,0.00311606,89.99688394
341.619472,668868.04,47525.97735,60,0,1,7,61687,94845.87211,7.052157623,0.029264011,59.97073599
271.357992,644159.52,87723.19732,69,1,1,3,61498,123870.9451,5.200247077,0.024136638,68.97586336
341.619472,299834.6,51292.59547,16,1,1,7,63150,113340.8622,2.645423672,0.096281615,15.90371838
21.5547315,434645.72,55789.21366,54,0,1,5,55547,99201.3537,4.381449484,0.002842044,53.99715796
621.645246,335641.84,71586.57467,-71,1,2,6,63668,110208.8202,3.045507966,0.135950187,-70.86404981
940.898155,369891.36,13073.87278,62,0,1,6,63819,70902.81301,5.216878489,0.145745108,61.85425489
747.3819705,706512.8,38412.74411,56,0,1,5,55475,83284.06446,8.483169075,0.060610557,55.93938944
49.379037,705516.96,70733.78176,-10,0,2,3,58349,128596.113,5.486300818,0.004010369,-9.995989631
56.69472,499796.6,56981.94924,-8,1,2,7,58866,115565.8242,4.324778571,0.006500185,-7.993499815
247.48143,629418.32,46247.8385,37,1,1,7,57261,98222.0636,6.408115417,0.022528813,36.97747119
593.6666015,719211.68,75552.91578,39,1,1,3,59930,127818.2499,5.626830916,0.047294525,38.95270548
985.2413185,263011.52,49106.93772,59,1,1,3,57527,92902.02491,2.831063373,0.295793353,58.70420665
43.0073435,167508.04,5199.885228,-86,1,2,5,57401,57996.16572,2.888260593,0.019874212,-85.98012579
593.6666015,719207.12,75552.65275,87,1,1,6,64683,101998.1498,7.051178101,0.047295064,86.95270494
108.029562,514418.96,43918.00007,-24,1,2,4,58487,100212.9943,5.133256059,0.01203274,-23.98796726
450.3421705,657058.32,78564.94481,-4,0,2,4,55463,133948.7251,4.905297305,0.039270402,-3.960729598
541.4303755,639348.48,55870.88248,82,1,1,3,59250,86911.11148,7.356349137,0.048521048,81.95147895
47.1566145,604249.6,20779.90891,-39,0,2,6,62218,79450.63798,7.605346103,0.004472026,-38.99552797
19.730706,300387.52,21548.49749,13,1,1,4,55849,76997.94354,3.901240815,0.003764565,12.99623543
247.48143,641464.24,118849.4444,-40,0,2,4,56873,166480.0722,3.853099242,0.022383903,-39.9776161
297.5381215,377654.68,44038.914,-54,1,2,6,64836,97466.64848,3.874706742,0.045455506,-53.95454449
39.458686,488754.88,72217.26953,-10,1,2,6,57142,128873.7164,3.79251017,0.004759481,-9.995240519
517.0619945,653408.96,87971.16104,1,1,1,5,60815,148780.6845,4.391759336,0.045340314,0.954659686
35.77195,185535.26,29441.01793,13,0,1,6,56772,85714.68607,2.164567923,0.019915289,12.98008471
357.7195015,409180.04,50396.70916,6,1,1,3,62743,112986.5028,3.621494868,0.053965074,5.946034926
650.942484,312465.66,55719.41588,-65,0,2,4,59264,96994.72875,3.221470528,0.14456317,-64.85543683
118.45206,153990.87,37273.97235,60,1,1,6,60431,85403.50226,1.803097835,0.095371626,59.90462837
54.1430375,174805.64,25326.28535,90,1,1,6,60972,66022.76512,2.647657057,0.026154258,89.97384574
56.69472,631640,16354.9951,-77,0,2,7,60722,66343.41367,9.520764233,0.005143389,-76.99485661
20.584609,697153.52,85319.53695,-5,1,2,3,58052,143240.0172,4.867030414,0.001692,-4.998308
713.7442405,568257.6,124987.4525,74,1,1,6,63886,155258.4439,3.660075328,0.076714918,73.92328508
149.122308,259182.02,46728.81572,-35,0,2,6,58655,100570.2938,2.577123026,0.049910153,-34.95008985
541.4303755,717679.28,27150.86614,-44,1,2,3,62374,84048.20641,8.538900598,0.043225239,-43.95677476
985.2413185,371591.2,65353.70655,-9,0,2,4,55292,120276.3868,3.089477575,0.191850416,-8.808149584
54.1430375,392481.96,40632.53297,64,0,1,4,56945,83200.71667,4.717290616,0.007904562,63.99209544
163.5093595,524155.84,85399.94046,-89,0,2,3,55347,102573.985,5.110027071,0.017873637,-88.98212636
37.45783,449817.72,41926.00094,23,1,1,6,62226,102141.3312,4.403875637,0.004771978,22.99522802
940.898155,701125.92,41929.58423,25,1,1,4,57784,97410.43486,7.197646957,0.076890242,24.92310976
124.034533,313363.3,37271.67153,-16,1,2,6,57050,93444.29048,3.353477226,0.026386936,-15.97361306
450.3421705,693619.68,84182.84343,36,1,1,7,58263,135710.6202,5.111019898,0.037200669,35.96279933
681.6204585,530150.68,43696.91395,86,1,1,5,57337,74474.79148,7.118525201,0.07366637,85.92633363
430.073434,366133.44,77674.13063,34,1,1,3,59251,131052.8936,2.793783715,0.093990141,33.90600986
271.357992,280882.2,59405.68565,-31,1,2,4,64977,119868.1906,2.343258862,0.092166557,-30.90783344
517.0619945,540385.88,47237.78994,-19,0,2,3,64909,110647.2106,4.883863561,0.054823143,-18.94517686
566.9472025,403502,28628.65585,19,1,1,3,64003,91547.63172,4.407563499,0.080504844,18.91949516
4.9379035,701294.56,68854.6302,-42,1,2,4,59712,120072,5.840616964,0.000403754,-41.99959625
85.8109315,261786.8,24380.83984,-48,1,2,5,60313,78739.89967,3.324703246,0.022041245,-47.97795875
566.9472025,403502,28628.65611,87,0,1,6,57252,65337.23077,6.175682612,0.08050527,86.91949473
205.846088,605271.56,32316.82662,-42,1,2,3,56175,83055.49214,7.28755612,0.019485945,-41.98051406
940.898155,594124.52,69480.53863,58,0,1,5,64105,116865.6066,5.083826949,0.090738216,57.90926178
89.855076,587465.84,40149.09213,-74,1,2,4,60626,81420.56003,7.215202644,0.008763995,-73.99123601
392.2316335,566712.04,27991.02356,-19,1,2,6,61300,88237.87742,6.422548417,0.039656064,-18.96034394
27.135799,252376.28,30437.41519,76,0,1,7,62022,75409.28252,3.346753497,0.00718375,75.99281625
650.942484,641400.08,16395.96579,0,0,1,6,63390,79785.96579,8.039008786,0.058148752,-0.058148752
1131.208388,659221.8,86666.50506,39,1,1,6,55652,134554.2031,4.899302918,0.098318704,38.9016813
747.3819705,402299.88,58296.48985,-33,1,2,5,64964,118199.7604,3.403559183,0.122020035,-32.87797996
430.073434,443958.12,40730.8595,5,1,1,4,62412,103049.03,4.308222211,0.055504404,4.944495596
163.5093595,559475.68,43602.93687,-15,1,2,3,60172,102909.8554,5.436560742,0.01674527,-14.98325473
1031.674312,528530.8,8745.894221,-77,0,2,3,64933,67440.96144,7.836940469,0.111839796,-76.8881602
621.645246,327550.16,91831.30524,32,1,1,7,61521,147648.2598,2.218449174,0.191244539,31.80875546
81.9488035,714824.64,89560.74083,20,0,1,7,56258,143719.8203,4.973737364,0.006569056,19.99343094
621.645246,688509.44,76171.73857,-2,0,2,6,63657,139807.6126,4.924692063,0.051732051,-1.948267949
1131.208388,390782.84,122142.3778,55,1,1,3,63431,166823.1067,2.342498278,0.27624717,54.72375283
621.645246,688507.36,76171.54623,-19,1,2,3,57320,131697.5491,5.227943607,0.051731958,-18.94826804
156.150226,688972,69887.75337,50,0,1,5,61207,118868.8219,5.796069892,0.01298607,49.98701393
1131.208388,390782.84,122142.3779,47,1,1,6,58671,167737.119,2.329733826,0.277761446,46.72223855
1031.674312,557116.96,87488.13584,-70,0,2,7,63162,124191.658,4.485945103,0.106101609,-69.89389839
450.3421705,431691.32,58092.05221,-39,0,2,5,57113,108597.554,3.975147729,0.059771879,-38.94022812
136.001161,689382.08,26930.56213,-79,1,2,5,63109,73188.68801,9.419243585,0.01130372,-78.98869628
236.3429305,435451.8,84920.24469,72,0,1,6,60891,118806.3154,3.665224349,0.033104103,71.9668959
1080.295624,161862.73,41491.61848,-45,1,2,4,57969,92105.72676,1.757357937,0.848996638,-44.15100336
89.855076,12989.05875,37607.75726,0,1,1,3,62966,100573.7573,0.129149582,11.97444137,-11.97444137
12.9880105,419858.4,23874.55087,-77,0,2,6,59994,69380.70636,6.051515213,0.001773222,-76.99822678
430.073434,353954.52,46597.78247,13,1,1,5,63761,109666.5928,3.227550988,0.084158101,12.9158419
341.619472,555250.12,116459.9663,-20,1,2,5,62026,176028.3327,3.15432244,0.043603672,-19.95639633
236.3429305,267564.24,40568.99286,-8,0,2,3,61043,101374.5321,2.639363502,0.074815173,-7.925184827
747.3819705,629734.68,113009.5261,44,0,1,3,64505,165588.5297,3.803009067,0.069763494,43.93023651
326.2440625,401527,13307.96827,44,1,1,3,62659,72821.11922,5.513881197,0.046553747,43.95344625
311.560661,269382.86,72084.5457,-46,1,2,6,64418,125686.9582,2.143284107,0.120634106,-45.87936589
17.9284445,174716.56,9661.874305,83,0,1,5,64817,66687.61174,2.619925282,0.008758093,82.99124191
782.6049975,602592.16,144595.8404,73,1,1,7,62885,173722.4774,3.468705772,0.083699795,72.9163002
31.156066,241985.84,32437.75719,79,1,1,7,64427,77463.39401,3.123873451,0.009215643,78.99078436
85.8109315,264666.1,22925.58526,80,1,1,6,61100,68885.91265,3.84209325,0.018865816,79.98113418
493.790371,478115.36,101257.092,9,1,1,4,56000,156812.5282,3.048961493,0.07572344,8.92427656
747.3819705,602591.64,144595.8014,45,1,1,7,58505,190510.9704,3.163028558,0.087657545,44.91234246
326.2440625,51932.27,61310.57131,49,1,1,4,63084,113196.6312,0.458779289,3.061086942,45.93891306
81.9488035,491813.24,48137.8933,-6,0,2,5,56913,104907.9299,4.688046369,0.009547544,-5.990452456
215.547315,635610.92,60442.9354,-23,0,2,3,63548,121503.3578,5.231221027,0.019430327,-22.98056967
215.547315,635610.64,60442.92881,53,0,1,3,62706,110214.8338,5.767015364,0.019430335,52.98056966
47.1566145,291812.76,32308.0251,-5,1,2,6,55639,87869.21251,3.320989817,0.010879148,-4.989120852
450.3421705,193768.7,84263.86986,-88,1,2,4,61821,106234.8252,1.823965914,0.284849174,-87.71515083
163.5093595,508998.32,70312.84575,-71,1,2,6,61805,107672.5957,4.72727825,0.018406236,-70.98159376
357.7195015,549150.28,41999.42292,-49,1,2,4,56562,89890.16324,6.109125406,0.037323215,-48.96267678
247.48143,539340.32,35180.40583,26,1,1,5,58553,91482.2353,5.895574351,0.026291253,25.97370875
113.1208385,625553.4,79077.75848,-78,0,2,3,61425,109754.8302,5.699552344,0.010361259,-77.98963874
326.2440625,93808.01,64160.61831,-25,0,2,6,59406,120641.9853,0.777573494,0.999857403,-24.0001426
187.733863,449810.6,32791.88765,11,1,1,3,59001,91404.81637,4.921082037,0.023913473,10.97608653
747.3819705,564417.2,42387.29257,0,0,1,3,63403,105790.2926,5.335245667,0.075869445,-0.075869445
59.3666605,320900.24,40292.43667,-20,0,2,5,63855,102646.7829,3.126257159,0.0132298,-19.9867702
43.0073435,75552.05,22666.02887,11,1,1,6,61678,84038.9492,0.899012312,0.141566386,10.85843361
681.6204585,95384.28,64101.17207,-46,0,2,6,56582,111128.289,0.858325822,1.861171057,-44.13882894
326.2440625,267498.68,85563.89551,-28,1,2,5,61724,143029.1427,1.870238994,0.145780473,-27.85421953
782.6049975,694420.16,17830.69484,-16,0,2,7,60381,77676.60631,8.939887992,0.064572406,-15.93542759
225.705747,558769.96,51978.67546,-48,0,2,4,60947,103227.2083,5.413010476,0.023144087,-47.97685591
94.0898155,364204.24,31610.50937,-5,1,2,7,61596,93126.98281,3.910834744,0.014803101,-4.985196899
713.7442405,289063.68,53389.17685,-51,0,2,6,61602,103849.5508,2.783485127,0.198304546,-50.80169545
326.2440625,209162.26,44739.89909,33,1,1,7,57167,97774.07115,2.139240573,0.162996326,32.83700367
23.634293,527197.28,64829.16799,34,0,1,3,55224,114841.7567,4.590641026,0.002568901,33.9974311
7.82605,223241.96,39230.46758,74,0,1,5,61709,81741.03187,2.731088107,0.002871292,73.99712871
297.5381215,263354.62,42884.3004,71,0,1,5,61649,85796.96859,3.069509615,0.082282752,70.91771725
297.5381215,306912,58226.38465,40,0,1,5,61485,112497.4257,2.728169096,0.079438968,39.92056103
430.073434,330472.86,49733.8438,-59,1,2,6,59600,95283.27314,3.46831977,0.083880803,-58.9161192
940.898155,286350.6,79002.17198,80,0,1,3,58613,106230.8881,2.695549338,0.272500594,79.72749941
9.852413,128661.1,6105.732243,-22,1,2,3,55063,60767.19705,2.117278832,0.008087575,-21.99191242
410.716941,653177.64,101884.5689,-51,0,2,6,62496,149333.3755,4.373956175,0.036028024,-50.96397198
430.073434,330472.86,49733.84358,30,0,1,3,64449,110357.8958,2.994555647,0.09715078,29.90284922
65.0942485,506320.12,39621.74467,-2,1,2,3,60685,100292.1412,5.048452592,0.007366484,-1.992633516
136.001161,727347.36,56769.75207,36,1,1,4,55226,106515.3581,6.828567947,0.010713622,35.98928638
430.073434,710472.56,23443.73484,17,1,1,6,64724,87412.50232,8.127813999,0.034683599,16.9653164
357.7195015,128092.88,36731.2737,-36,1,2,4,58238,90565.32501,1.414370014,0.441395881,-35.55860412
32.6244065,89557.35,17280.63529,49,1,1,3,55765,68357.76634,1.310126922,0.062163689,48.93783631
214.556965,418452.76,49728.20508,57,0,1,3,55636,92638.7662,4.517037274,0.02937819,56.97062181
357.7195015,128092.89,36731.26842,21,1,1,6,64539,99703.35437,1.284740025,0.485935309,20.51406469
374.578302,339034.2,40632.75739,51,1,1,5,59455,90700.43173,3.737955747,0.066075367,50.93392463
297.5381215,521174.92,104241.6302,14,1,1,7,62034,165116.3781,3.156409594,0.040433823,13.95956618
326.2440625,275755.4,31145.7264,-58,0,2,4,58161,79199.87552,3.481765573,0.075961446,-57.92403855
782.6049975,288074.14,51421.25713,-21,0,2,6,63669,113185.0692,2.545160259,0.238613699,-20.7613863
858.109316,330223.34,67863.06467,-50,0,2,7,58082,114219.8166,2.891121259,0.200928213,-49.79907179
247.48143,376462.84,58810.23088,0,0,1,4,59401,118211.2309,3.184662212,0.046145885,-0.046145885
341.619472,505231.08,28762.5133,-67,1,2,6,57954,74084.8826,6.819624494,0.038742084,-66.96125792
15.615023,726574.4,29363.39111,43,1,1,5,61353,85214.516,8.526415851,0.001231755,42.99876824
271.357992,376462.76,58810.28032,81,1,1,6,62814,92520.37387,4.068971452,0.041300279,80.95869972
747.3819705,743137.6,138253.5653,80,1,1,6,62133,161114.467,4.612482131,0.057623503,79.9423765
271.357992,334918.48,39155.47965,49,1,1,7,63326,93791.30657,3.57089044,0.050723243,48.94927676
259.1448705,69545.26,92787.81934,-65,1,2,7,61506,131211.0465,0.530025953,1.571659677,-63.42834032
341.619472,135158.68,37486.17859,-49,0,2,3,55053,84521.59085,1.599102414,0.353341822,-48.64665818
17.9284445,278437.66,35980.86204,42,1,1,3,56970,87102.49146,3.196666999,0.004503589,41.99549641
430.073434,691026.48,24343.73798,-27,1,2,4,60587,83016.3733,8.323978181,0.035659459,-26.96434054
18.7733865,531047.16,73642.08868,84,1,1,5,62377,101362.5449,5.239086689,0.00202604,83.99797396
247.48143,518638.44,80834.00282,-86,0,2,7,62285,105432.2981,4.919160917,0.027340911,-85.97265909
196.5814875,385233.72,15914.66154,-82,1,2,6,61977,66098.18305,5.82820438,0.029238451,-81.97076155
32.9414425,213105.94,28544.00621,-11,0,2,3,62719,90901.88324,2.34435121,0.014741198,-10.9852588
74.738197,237564.8,22643.13888,-83,0,2,6,61474,68051.7448,3.490943556,0.020147511,-82.97985249
311.560661,473556.56,68019.57703,68,0,1,3,55507,102646.9251,4.613451005,0.037696214,67.96230379
1080.295624,280276.68,26154.88593,-66,1,2,5,62873,77296.81145,3.62597984,0.237629914,-65.76237009
49.379037,123118.39,29216.6321,-50,1,2,5,58645,80595.06355,1.52761701,0.058697284,-49.94130272
74.738197,711284.88,88285.48036,17,0,1,6,59608,146330.4044,4.86081401,0.006020835,16.99397917
1080.295624,280276.56,26154.90123,-56,1,2,3,58692,76456.81971,3.665815045,0.235047334,-55.76495267
374.578302,598546.08,51247.38151,-55,0,2,6,61818,100408.9226,5.96108458,0.035857068,-54.96414293
782.6049975,549516.16,38365.93081,69,1,1,5,61875,83677.43941,6.567076668,0.08159954,68.91840046
43.0073435,322719.54,41095.81936,-26,0,2,4,62098,100659.9007,3.206038729,0.00929304,-25.99070696
108.029562,95474.03,19776.38657,-33,0,2,4,59881,77221.73911,1.23636208,0.204595745,-32.79540425
156.150226,735755.36,3146.214039,-64,0,2,7,56672,58120.0427,12.6592364,0.0121605,-63.9878395
392.2316335,578993.88,89219.10198,-32,0,2,3,59650,143334.0781,4.039471197,0.038814568,-31.96118543
129.880101,542373.16,49473.08458,-34,1,2,6,59046,103815.052,5.224417361,0.013721048,-33.98627895
24.7481435,241066.66,29167.10352,-22,0,2,3,60393,88116.30088,2.735778257,0.008389693,-21.99161031
215.547315,583884.12,13667.96082,-87,0,2,7,57951,60233.20716,9.693724567,0.021152069,-86.97884793
45.034217,347271.52,37519.73936,15,1,1,6,63598,100310.433,3.461968109,0.008374851,14.99162515
392.2316335,443475.4,50824.0731,41,0,1,3,60622,104444.8165,4.246025937,0.050675634,40.94932437
32.6244065,371687.24,38367.31525,-23,1,2,4,63431,99879.75741,3.721347044,0.005273353,-22.99472665
